epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.963979,2.09463,3.29981,1.81843,0,0,0,0,0,13.7812,0,0,0,0
2,1.41602,2.06369,3.22715,1.93747,0,0,0,0,0,13.7812,0,1.6505e-05,1.6505e-05,1.6505e-05
3,1.90599,1.85033,3.29307,1.66633,0,0,0,0,0,13.7812,0,3.26799e-05,3.26799e-05,3.26799e-05
4,2.43606,1.9552,3.34142,1.79879,0,0,0,0,0,13.7812,0,4.85247e-05,4.85247e-05,4.85247e-05
5,2.9218,1.74352,3.22893,1.66689,0,0,0,0,0,13.7812,0,6.40395e-05,6.40395e-05,6.40395e-05
6,3.4253,1.66664,2.97916,1.576,0,0,0,0,0,13.7812,0,7.92242e-05,7.92242e-05,7.92242e-05
7,3.91622,2.05844,3.00408,1.95494,0,0,0,0,0,13.7734,0,9.40788e-05,9.40788e-05,9.40788e-05
8,4.42289,1.63309,3.09592,1.56105,0,0,0,0,0,13.7578,0,0.000108603,0.000108603,0.000108603
9,4.93247,1.53779,2.9432,1.58064,0,0,0,0,0,13.7578,0,0.000122798,0.000122798,0.000122798
10,5.43649,1.487,2.85116,1.46616,0,0,0,0,0,13.6484,0,0.000136662,0.000136662,0.000136662
11,5.96766,1.65401,2.85097,1.54205,0,0,0,0,0,13.6484,0,0.000150197,0.000150197,0.000150197
12,6.50353,1.37679,2.8915,1.37124,0,0,0,0,0,13.375,0,0.000163401,0.000163401,0.000163401
13,7.07629,1.39657,2.79271,1.40299,0,0,0,0,0,13.375,0,0.000176275,0.000176275,0.000176275
14,7.59218,1.15662,2.5378,1.29522,0,0,0,0,0,13.1641,0,0.000188819,0.000188819,0.000188819
15,8.03875,1.22983,2.4938,1.29237,0,0,0,0,0,13.1641,0,0.000201034,0.000201034,0.000201034
16,8.51991,1.14732,2.50962,1.30207,0,0,0,0,0,13.1797,0,0.000212918,0.000212918,0.000212918
17,8.97807,1.28678,2.55316,1.28871,0,0,0,0,0,13.1797,0,0.000224472,0.000224472,0.000224472
18,9.45773,1.49816,2.3392,1.45254,0,0,0,0,0,13.9766,0,0.000235695,0.000235695,0.000235695
19,9.91788,1.30904,2.31362,1.21291,0,0,0,0,0,13.9766,0,0.000246589,0.000246589,0.000246589
20,10.4282,1.33709,2.20099,1.30087,0,0,0,0,0,15.9609,0,0.000257153,0.000257153,0.000257153
21,10.9102,1.06798,2.08896,1.13331,0,0,0,0,0,15.9609,0,0.000267387,0.000267387,0.000267387
22,11.3881,1.18138,2.0723,1.21282,0,0,0,0,0,18.5312,0,0.00027729,0.00027729,0.00027729
23,11.8376,1.01195,1.92677,1.15176,0,0,0,0,0,18.5312,0,0.000286864,0.000286864,0.000286864
24,12.3301,1.10187,2.0546,1.16906,0,0,0,0,0,18.5312,0,0.000296108,0.000296108,0.000296108
25,12.8179,1.17053,1.93819,1.20051,0,0,0,0,0,21.2344,0,0.000305021,0.000305021,0.000305021
26,13.2745,1.09551,1.84146,1.1163,0,0,0,0,0,21.2344,0,0.000313604,0.000313604,0.000313604
27,13.7315,1.25444,1.91156,1.2082,0,0,0,0,0,21.2344,0,0.000321858,0.000321858,0.000321858
28,14.2444,1.27029,1.9045,1.26018,0,0,0,0,0,23.3438,0,0.000329781,0.000329781,0.000329781
29,14.8257,1.03553,1.68137,1.10206,0,0,0,0,0,23.3438,0,0.000337374,0.000337374,0.000337374
30,15.2989,1.31347,1.71859,1.19536,0,0,0,0,0,23.3438,0,0.000344637,0.000344637,0.000344637
31,15.7993,1.1244,1.71039,1.14249,0,0,0,0,0,27.4688,0,0.00035157,0.00035157,0.00035157
32,16.2597,1.25262,1.74106,1.23507,0,0,0,0,0,27.4688,0,0.000358173,0.000358173,0.000358173
33,16.7565,1.21062,1.64418,1.22609,0,0,0,0,0,27.4688,0,0.000364446,0.000364446,0.000364446
34,17.2702,1.07416,1.62824,1.15398,0,0,0,0,0,37.5312,0,0.000370389,0.000370389,0.000370389
35,17.7785,1.06866,1.5512,1.09387,0,0,0,0,0,37.5312,0,0.000376002,0.000376002,0.000376002
36,18.2756,1.03365,1.46607,1.13816,0,0,0,0,0,37.5312,0,0.000381285,0.000381285,0.000381285
37,18.7428,1.00641,1.39077,1.11841,0,0,0,0,0,37.5312,0,0.000386237,0.000386237,0.000386237
38,19.2847,1.16641,1.53488,1.11068,0,0,0,0,0,59.1562,0,0.00039086,0.00039086,0.00039086
39,19.7544,1.11789,1.49416,1.15941,0,0,0,0,0,59.1562,0,0.000395152,0.000395152,0.000395152
40,20.1978,1.20929,1.60272,1.16413,0,0,0,0,0,59.1562,0,0.000399115,0.000399115,0.000399115
41,20.6816,1.25222,1.57949,1.19946,0,0,0,0,0,59.1562,0,0.000402747,0.000402747,0.000402747
42,21.1567,1.03172,1.48287,1.09968,0,0,0,0,0,99.4375,0,0.00040605,0.00040605,0.00040605
43,21.5984,1.05815,1.17344,1.14838,0,0,0,0,0,99.4375,0,0.000409022,0.000409022,0.000409022
44,22.081,0.99391,1.31811,1.06151,0,0,0,0,0,99.4375,0,0.000411664,0.000411664,0.000411664
45,22.544,0.98576,1.2559,1.04587,0,0,0,0,0,99.4375,0,0.000413976,0.000413976,0.000413976
46,23.4786,1.01395,1.33876,1.12588,0,0,0,0,0,140,0,0.000415958,0.000415958,0.000415958
47,24.1875,0.90885,1.0979,1.0516,0,0,0,0,0,140,0,0.00041761,0.00041761,0.00041761
48,24.8327,1.34455,1.39919,1.24971,0,0,0,0,0,140,0,0.000418932,0.000418932,0.000418932
49,25.5368,0.98175,1.22433,1.11647,0,0,0,0,0,140,0,0.000419924,0.000419924,0.000419924
50,26.2542,0.96695,1.21547,1.07542,0,0,0,0,0,163.75,0,0.000420586,0.000420586,0.000420586
51,26.8602,0.98622,1.1252,1.07644,0,0,0,0,0,163.75,0,0.000420918,0.000420918,0.000420918
52,27.4346,0.99441,1.10157,1.1276,0,0,0,0,0,163.75,0,0.000420919,0.000420919,0.000420919
53,28.1027,0.89199,1.04862,1.02103,0,0,0,0,0,163.75,0,0.000420591,0.000420591,0.000420591
54,28.7859,1.06915,1.22361,1.07997,0,0,0,0,0,163.75,0,0.000419932,0.000419932,0.000419932
55,29.4916,0.98289,1.15224,1.11648,0,0,0,0,0,152.25,0,0.000418944,0.000418944,0.000418944
56,30.1139,1.14907,1.08324,1.12428,0,0,0,0,0,152.25,0,0.000417625,0.000417625,0.000417625
57,30.7915,1.08422,1.26579,1.07846,0,0,0,0,0,152.25,0,0.000415977,0.000415977,0.000415977
58,31.5666,0.94762,1.0174,1.01761,0,0,0,0,0,152.25,0,0.000413998,0.000413998,0.000413998
59,32.3866,1.10283,1.12046,1.11262,0,0,0,0,0,152.25,0,0.000411689,0.000411689,0.000411689
60,33.0644,0.86594,1.05167,1.01453,0,0,0,0,0,128,0,0.00040905,0.00040905,0.00040905
61,33.7155,0.90381,0.95069,1.01096,0,0,0,0,0,128,0,0.000406081,0.000406081,0.000406081
62,34.5187,1.00617,1.16896,1.12264,0,0,0,0,0,128,0,0.000402782,0.000402782,0.000402782
63,35.3126,0.94224,0.95753,1.04735,0,0,0,0,0,128,0,0.000399153,0.000399153,0.000399153
64,36.036,1.12168,1.12168,1.14614,0,0,0,0,0,128,0,0.000395194,0.000395194,0.000395194
65,36.7792,0.84734,1.03884,1.02284,0,0,0,0,0,125.75,0,0.000390905,0.000390905,0.000390905
66,37.5065,0.85085,0.94364,1.04369,0,0,0,0,0,125.75,0,0.000386286,0.000386286,0.000386286
67,38.2399,0.8812,0.89273,1.02963,0,0,0,0,0,125.75,0,0.000381336,0.000381336,0.000381336
68,39.0447,0.89454,0.89627,1.0425,0,0,0,0,0,125.75,0,0.000376057,0.000376057,0.000376057
69,39.8494,0.91566,0.96021,1.01872,0,0,0,0,0,125.75,0,0.000370447,0.000370447,0.000370447
70,40.6259,1.05425,1.0726,1.10265,0,0,0,0,0,125.75,0,0.000364508,0.000364508,0.000364508
71,41.415,0.78165,0.92032,0.98443,0,0,0,0,0,135.625,0,0.000358238,0.000358238,0.000358238
72,42.1758,0.82037,0.91988,1.02603,0,0,0,0,0,135.625,0,0.000351639,0.000351639,0.000351639
73,42.9549,0.68797,0.79511,0.99015,0,0,0,0,0,135.625,0,0.000344709,0.000344709,0.000344709
74,43.7178,0.85009,0.9245,1.0287,0,0,0,0,0,135.625,0,0.000337449,0.000337449,0.000337449
75,44.4631,0.85353,0.9702,0.99785,0,0,0,0,0,135.625,0,0.000329859,0.000329859,0.000329859
76,45.1848,0.89835,0.93924,1.0488,0,0,0,0,0,135.625,0,0.000321939,0.000321939,0.000321939
77,45.9997,1.04757,1.07683,1.12281,0,0,0,0,0,166.75,0,0.000313689,0.000313689,0.000313689
78,46.7637,1.02484,1.14535,1.1416,0,0,0,0,0,166.75,0,0.000305109,0.000305109,0.000305109
79,47.6286,0.85413,0.9999,1.00488,0,0,0,0,0,166.75,0,0.000296199,0.000296199,0.000296199
80,48.3708,0.84169,0.89404,1.00219,0,0,0,0,0,166.75,0,0.000286959,0.000286959,0.000286959
81,49.1391,0.90388,0.83402,1.05263,0,0,0,0,0,166.75,0,0.000277389,0.000277389,0.000277389
82,49.9124,0.79721,0.83606,0.99285,0,0,0,0,0,166.75,0,0.000267488,0.000267488,0.000267488
83,50.5785,0.80648,0.84698,1.01514,0,0,0,0,0,166.75,0,0.000257258,0.000257258,0.000257258
