epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,393.009,0.93066,0.56726,0.97766,0.96328,0.95811,0.98175,0.75071,0.85903,0.53342,0.97511,0.000990365,0.000990365,0.000990365
43,401.594,0.92612,0.56962,0.96513,0.96227,0.97764,0.98951,0.7563,0.84099,0.50893,0.95548,0.000973861,0.000973861,0.000973861
44,410.151,0.91041,0.54561,0.97244,0.96669,0.95783,0.98721,0.76344,0.80496,0.50294,0.95273,0.000957358,0.000957358,0.000957358
45,418.926,0.89604,0.53854,0.9599,0.94671,0.99304,0.9885,0.77194,0.80646,0.48773,0.95224,0.000940855,0.000940855,0.000940855
46,428.125,0.90195,0.55397,0.96696,0.96442,0.95583,0.98833,0.75415,0.84739,0.50687,0.9515,0.000924352,0.000924352,0.000924352
47,437.377,0.88188,0.53824,0.96079,0.98843,0.96873,0.99215,0.774,0.81324,0.49228,0.95358,0.000907848,0.000907848,0.000907848
48,446.148,0.87914,0.52819,0.9674,0.95733,0.9769,0.98764,0.7644,0.81383,0.48962,0.94264,0.000891345,0.000891345,0.000891345
49,455.009,0.8752,0.53685,0.95572,0.96068,0.97196,0.98756,0.76176,0.80531,0.48714,0.94091,0.000874842,0.000874842,0.000874842
50,464.006,0.88186,0.53608,0.96347,0.96837,0.98275,0.9918,0.78202,0.77474,0.47595,0.92745,0.000858338,0.000858338,0.000858338
51,472.818,0.8793,0.53574,0.96049,0.96848,0.99042,0.99349,0.76662,0.83519,0.48528,0.957,0.000841835,0.000841835,0.000841835
52,481.706,0.8726,0.52325,0.96083,0.97514,0.9854,0.99326,0.77376,0.79831,0.46507,0.95092,0.000825332,0.000825332,0.000825332
53,490.53,0.87565,0.51927,0.95247,0.96166,0.98976,0.99123,0.77578,0.78203,0.45606,0.94228,0.000808828,0.000808828,0.000808828
54,499.418,0.86623,0.51711,0.95379,0.97649,0.98287,0.99299,0.79625,0.73901,0.43379,0.93131,0.000792325,0.000792325,0.000792325
55,508.331,0.85375,0.50335,0.94966,0.97704,0.97814,0.99336,0.78479,0.77072,0.439,0.94317,0.000775822,0.000775822,0.000775822
56,517.193,0.86666,0.51515,0.9505,0.96716,0.98016,0.99318,0.79031,0.7766,0.44447,0.94244,0.000759318,0.000759318,0.000759318
57,526.083,0.84292,0.50376,0.94317,0.98002,0.97305,0.99217,0.79018,0.75018,0.44972,0.92876,0.000742815,0.000742815,0.000742815
58,535.006,0.84506,0.50662,0.95014,0.98312,0.97169,0.99142,0.78278,0.75929,0.44189,0.93254,0.000726312,0.000726312,0.000726312
59,544.413,0.84311,0.49916,0.93956,0.97545,0.98377,0.99358,0.78186,0.78578,0.44762,0.9365,0.000709809,0.000709809,0.000709809
60,553.16,0.84257,0.49772,0.95174,0.98864,0.98072,0.9938,0.80105,0.7179,0.42625,0.91301,0.000693305,0.000693305,0.000693305
61,561.997,0.81412,0.48544,0.94103,0.98869,0.97396,0.99307,0.79853,0.72874,0.43372,0.91878,0.000676802,0.000676802,0.000676802
62,570.764,0.81075,0.48547,0.93986,0.97955,0.98978,0.99427,0.79137,0.7363,0.43128,0.92662,0.000660299,0.000660299,0.000660299
