epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,141.288,1.07035,0.77874,1.01135,0.85317,0.88684,0.92554,0.62868,1.09194,0.87068,1.01768,0.000990365,0.000990365,0.000990365
43,143.636,1.07491,0.80948,1.03119,0.87581,0.89771,0.94233,0.65013,1.06595,0.82478,1.01761,0.000973861,0.000973861,0.000973861
44,146.008,1.0688,0.76528,1.0139,0.88621,0.90581,0.9443,0.65933,1.04788,0.81462,1.01579,0.000957358,0.000957358,0.000957358
45,148.345,1.08126,0.78453,1.01432,0.85363,0.90181,0.9334,0.64347,1.07024,0.82766,1.02128,0.000940855,0.000940855,0.000940855
46,150.709,1.06231,0.75906,1.01603,0.84567,0.92924,0.90749,0.62956,1.03901,0.84546,1.01068,0.000924352,0.000924352,0.000924352
47,152.985,1.0864,0.778,1.03324,0.85015,0.91621,0.92208,0.64579,1.00826,0.82806,1.00269,0.000907848,0.000907848,0.000907848
48,155.323,1.08795,0.76765,1.01228,0.8688,0.90831,0.93225,0.64697,1.03678,0.81418,1.00736,0.000891345,0.000891345,0.000891345
49,157.618,1.08698,0.74573,1.00867,0.88782,0.89294,0.94207,0.65151,1.05938,0.80524,1.01178,0.000874842,0.000874842,0.000874842
50,159.942,1.1178,0.77863,1.03471,0.92128,0.90512,0.95849,0.68122,1.01002,0.75398,1.00139,0.000858338,0.000858338,0.000858338
51,162.259,1.05169,0.72108,0.99912,0.91135,0.92535,0.95783,0.67565,1.03834,0.75292,1.01182,0.000841835,0.000841835,0.000841835
52,164.631,1.02889,0.71274,0.9995,0.91777,0.90907,0.95927,0.67401,1.06817,0.75012,1.01634,0.000825332,0.000825332,0.000825332
53,166.981,1.0689,0.71057,1.00554,0.91394,0.93216,0.96095,0.66936,1.0942,0.74098,1.0244,0.000808828,0.000808828,0.000808828
54,169.392,1.06559,0.74964,1.01178,0.91067,0.95932,0.96609,0.68221,1.03588,0.71756,1.01047,0.000792325,0.000792325,0.000792325
55,171.765,1.0373,0.70752,0.99049,0.90025,0.95299,0.96795,0.68063,1.03529,0.71594,1.01391,0.000775822,0.000775822,0.000775822
56,174.106,1.01624,0.7131,0.99984,0.88758,0.95996,0.96628,0.66607,1.08461,0.73155,1.0273,0.000759318,0.000759318,0.000759318
57,176.398,1.07474,0.70785,1.01197,0.87779,0.96669,0.96696,0.67079,1.07091,0.72721,1.02962,0.000742815,0.000742815,0.000742815
58,178.761,1.02562,0.70916,1.0024,0.89406,0.94699,0.97115,0.70689,0.9739,0.68454,1.01677,0.000726312,0.000726312,0.000726312
