epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.746766,2.09463,3.29981,1.81843,0.01821,0.5,0.13635,0.05931,1.70841,2.96133,1.49437,0,0,0
2,1.17644,2.06369,3.22715,1.93747,0.01767,0.5,0.1405,0.06153,1.72514,2.96869,1.51167,1.6505e-05,1.6505e-05,1.6505e-05
3,1.63002,1.85033,3.29307,1.66633,0.01786,0.5,0.16521,0.08103,1.64212,2.97452,1.47495,3.26799e-05,3.26799e-05,3.26799e-05
4,2.11774,1.9552,3.34142,1.79879,0.01805,0.5,0.22039,0.11092,1.52816,2.95807,1.40461,4.85247e-05,4.85247e-05,4.85247e-05
5,2.62194,1.74352,3.22893,1.66689,0.01898,0.5625,0.26167,0.12769,1.46527,2.97264,1.39282,6.40395e-05,6.40395e-05,6.40395e-05
6,3.13507,1.66664,2.97916,1.576,0.01969,0.625,0.26349,0.1314,1.46567,2.9767,1.40466,7.92242e-05,7.92242e-05,7.92242e-05
7,3.64923,2.05844,3.00408,1.95494,0.01861,0.5625,0.29081,0.15026,1.38567,2.96158,1.34198,9.40788e-05,9.40788e-05,9.40788e-05
8,4.1645,1.63309,3.09592,1.56105,0.01961,0.6875,0.30392,0.16891,1.31934,2.95605,1.31357,0.000108603,0.000108603,0.000108603
9,4.63801,1.53779,2.9432,1.58064,0.01961,0.6875,0.30392,0.16891,1.31934,2.95605,1.31357,0.000122798,0.000122798,0.000122798
10,5.14376,1.487,2.85116,1.46616,0.02245,0.875,0.29128,0.16499,1.33588,2.91882,1.30618,0.000136662,0.000136662,0.000136662
11,5.63375,1.65401,2.85097,1.54205,0.02245,0.875,0.29128,0.16499,1.33588,2.91882,1.30618,0.000150197,0.000150197,0.000150197
12,6.20905,1.37679,2.8915,1.37124,0.0245,1,0.33858,0.16755,1.38562,2.88028,1.34531,0.000163401,0.000163401,0.000163401
13,6.70775,1.39657,2.79271,1.40299,0.0245,1,0.33858,0.16755,1.38562,2.88028,1.34531,0.000176275,0.000176275,0.000176275
14,7.21766,1.15662,2.5378,1.29522,0.02427,1,0.53452,0.22318,1.33349,2.79389,1.30973,0.000188819,0.000188819,0.000188819
15,7.71064,1.22983,2.4938,1.29237,0.02427,1,0.53452,0.22318,1.33349,2.79389,1.30973,0.000201034,0.000201034,0.000201034
16,8.23174,1.14732,2.50962,1.30207,0.02406,1,0.67176,0.33469,1.22084,2.66614,1.24381,0.000212918,0.000212918,0.000212918
17,8.73791,1.28678,2.55316,1.28871,0.02406,1,0.67176,0.33469,1.22084,2.66614,1.24381,0.000224472,0.000224472,0.000224472
18,9.25211,1.49816,2.3392,1.45254,0.02369,1,0.75651,0.46599,1.06598,2.4729,1.13652,0.000235695,0.000235695,0.000235695
19,9.73409,1.30904,2.31362,1.21291,0.02369,1,0.75651,0.46599,1.06598,2.4729,1.13652,0.000246589,0.000246589,0.000246589
20,10.2461,1.33709,2.20099,1.30087,0.73681,0.4,0.72238,0.50577,0.98931,2.27663,1.03383,0.000257153,0.000257153,0.000257153
21,10.7365,1.06798,2.08896,1.13331,0.73681,0.4,0.72238,0.50577,0.98931,2.27663,1.03383,0.000267387,0.000267387,0.000267387
22,11.2423,1.18138,2.0723,1.21282,0.86077,0.38897,0.75084,0.5565,1.01347,2.11285,0.97893,0.00027729,0.00027729,0.00027729
23,11.7341,1.01195,1.92677,1.15176,0.86077,0.38897,0.75084,0.5565,1.01347,2.11285,0.97893,0.000286864,0.000286864,0.000286864
24,12.2443,1.10187,2.0546,1.16906,0.86077,0.38897,0.75084,0.5565,1.01347,2.11285,0.97893,0.000296108,0.000296108,0.000296108
25,12.7704,1.17053,1.93819,1.20051,0.83414,0.425,0.77076,0.55631,1.02934,1.95472,0.92599,0.000305021,0.000305021,0.000305021
26,13.2653,1.09551,1.84146,1.1163,0.83414,0.425,0.77076,0.55631,1.02934,1.95472,0.92599,0.000313604,0.000313604,0.000313604
27,13.7557,1.25444,1.91156,1.2082,0.83414,0.425,0.77076,0.55631,1.02934,1.95472,0.92599,0.000321858,0.000321858,0.000321858
28,14.2458,1.27029,1.9045,1.26018,0.83407,0.475,0.76741,0.55105,1.00885,1.83551,0.90907,0.000329781,0.000329781,0.000329781
29,14.7848,1.03553,1.68137,1.10206,0.83407,0.475,0.76741,0.55105,1.00885,1.83551,0.90907,0.000337374,0.000337374,0.000337374
30,15.2387,1.31347,1.71859,1.19536,0.83407,0.475,0.76741,0.55105,1.00885,1.83551,0.90907,0.000344637,0.000344637,0.000344637
31,15.7113,1.1244,1.71039,1.14249,0.80439,0.5,0.79446,0.61469,0.82767,1.68705,0.88593,0.00035157,0.00035157,0.00035157
32,16.1733,1.25262,1.74106,1.23507,0.80439,0.5,0.79446,0.61469,0.82767,1.68705,0.88593,0.000358173,0.000358173,0.000358173
33,16.6247,1.21062,1.64418,1.22609,0.80439,0.5,0.79446,0.61469,0.82767,1.68705,0.88593,0.000364446,0.000364446,0.000364446
34,17.0954,1.07416,1.62824,1.15398,0.79225,0.5,0.74669,0.59497,0.80909,1.56877,0.87203,0.000370389,0.000370389,0.000370389
35,17.552,1.06866,1.5512,1.09387,0.79225,0.5,0.74669,0.59497,0.80909,1.56877,0.87203,0.000376002,0.000376002,0.000376002
36,18.0011,1.03365,1.46607,1.13816,0.79225,0.5,0.74669,0.59497,0.80909,1.56877,0.87203,0.000381285,0.000381285,0.000381285
37,18.437,1.00641,1.39077,1.11841,0.79225,0.5,0.74669,0.59497,0.80909,1.56877,0.87203,0.000386237,0.000386237,0.000386237
38,18.9139,1.16641,1.53488,1.11068,0.87006,0.5,0.59081,0.45397,0.87281,1.48831,0.88427,0.00039086,0.00039086,0.00039086
39,19.363,1.11789,1.49416,1.15941,0.87006,0.5,0.59081,0.45397,0.87281,1.48831,0.88427,0.000395152,0.000395152,0.000395152
40,19.8092,1.20929,1.60272,1.16413,0.87006,0.5,0.59081,0.45397,0.87281,1.48831,0.88427,0.000399115,0.000399115,0.000399115
41,20.28,1.25222,1.57949,1.19946,0.87006,0.5,0.59081,0.45397,0.87281,1.48831,0.88427,0.000402747,0.000402747,0.000402747
42,20.766,1.03172,1.48287,1.09968,0.89831,0.5,0.56693,0.36734,1.14472,1.47153,0.95974,0.00040605,0.00040605,0.00040605
43,21.252,1.05815,1.17344,1.14838,0.89831,0.5,0.56693,0.36734,1.14472,1.47153,0.95974,0.000409022,0.000409022,0.000409022
44,21.7146,0.99391,1.31811,1.06151,0.89831,0.5,0.56693,0.36734,1.14472,1.47153,0.95974,0.000411664,0.000411664,0.000411664
45,22.2728,0.98576,1.2559,1.04587,0.89831,0.5,0.56693,0.36734,1.14472,1.47153,0.95974,0.000413976,0.000413976,0.000413976
46,22.7384,1.01395,1.33876,1.12588,0.91192,0.5,0.56267,0.37694,1.16648,1.42564,1.00055,0.000415958,0.000415958,0.000415958
47,23.2077,0.90885,1.0979,1.0516,0.91192,0.5,0.56267,0.37694,1.16648,1.42564,1.00055,0.00041761,0.00041761,0.00041761
48,23.6666,1.34455,1.39919,1.24971,0.91192,0.5,0.56267,0.37694,1.16648,1.42564,1.00055,0.000418932,0.000418932,0.000418932
49,24.1341,0.98175,1.22433,1.11647,0.91192,0.5,0.56267,0.37694,1.16648,1.42564,1.00055,0.000419924,0.000419924,0.000419924
50,24.6025,0.96695,1.21547,1.07542,0.39219,0.6875,0.56436,0.41361,0.99466,1.34109,0.9669,0.000420586,0.000420586,0.000420586
51,25.0481,0.98622,1.1252,1.07644,0.39219,0.6875,0.56436,0.41361,0.99466,1.34109,0.9669,0.000420918,0.000420918,0.000420918
52,25.4951,0.99441,1.10157,1.1276,0.39219,0.6875,0.56436,0.41361,0.99466,1.34109,0.9669,0.000420919,0.000420919,0.000420919
53,25.9468,0.89199,1.04862,1.02103,0.39219,0.6875,0.56436,0.41361,0.99466,1.34109,0.9669,0.000420591,0.000420591,0.000420591
54,26.3879,1.06915,1.22361,1.07997,0.39219,0.6875,0.56436,0.41361,0.99466,1.34109,0.9669,0.000419932,0.000419932,0.000419932
55,26.8543,0.98289,1.15224,1.11648,0.4497,0.875,0.5915,0.47871,0.82378,1.22187,0.90112,0.000418944,0.000418944,0.000418944
56,27.3189,1.14907,1.08324,1.12428,0.4497,0.875,0.5915,0.47871,0.82378,1.22187,0.90112,0.000417625,0.000417625,0.000417625
57,27.7646,1.08422,1.26579,1.07846,0.4497,0.875,0.5915,0.47871,0.82378,1.22187,0.90112,0.000415977,0.000415977,0.000415977
58,28.2241,0.94762,1.0174,1.01761,0.4497,0.875,0.5915,0.47871,0.82378,1.22187,0.90112,0.000413998,0.000413998,0.000413998
59,28.6759,1.10283,1.12046,1.11262,0.4497,0.875,0.5915,0.47871,0.82378,1.22187,0.90112,0.000411689,0.000411689,0.000411689
60,29.1465,0.86594,1.05167,1.01453,0.49684,0.875,0.64885,0.51391,0.83485,1.10157,0.89174,0.00040905,0.00040905,0.00040905
61,29.6927,0.90381,0.95069,1.01096,0.49684,0.875,0.64885,0.51391,0.83485,1.10157,0.89174,0.000406081,0.000406081,0.000406081
62,30.1425,1.00617,1.16896,1.12264,0.49684,0.875,0.64885,0.51391,0.83485,1.10157,0.89174,0.000402782,0.000402782,0.000402782
63,30.5915,0.94224,0.95753,1.04735,0.49684,0.875,0.64885,0.51391,0.83485,1.10157,0.89174,0.000399153,0.000399153,0.000399153
64,31.0579,1.12168,1.12168,1.14614,0.49684,0.875,0.64885,0.51391,0.83485,1.10157,0.89174,0.000395194,0.000395194,0.000395194
65,31.5266,0.84734,1.03884,1.02284,0.54676,0.875,0.71332,0.56369,0.85228,1.0519,0.89187,0.000390905,0.000390905,0.000390905
66,31.9779,0.85085,0.94364,1.04369,0.54676,0.875,0.71332,0.56369,0.85228,1.0519,0.89187,0.000386286,0.000386286,0.000386286
67,32.4397,0.8812,0.89273,1.02963,0.54676,0.875,0.71332,0.56369,0.85228,1.0519,0.89187,0.000381336,0.000381336,0.000381336
68,32.9334,0.89454,0.89627,1.0425,0.54676,0.875,0.71332,0.56369,0.85228,1.0519,0.89187,0.000376057,0.000376057,0.000376057
69,33.3832,0.91566,0.96021,1.01872,0.54676,0.875,0.71332,0.56369,0.85228,1.0519,0.89187,0.000370447,0.000370447,0.000370447
70,33.8497,1.05425,1.0726,1.10265,0.54676,0.875,0.71332,0.56369,0.85228,1.0519,0.89187,0.000364508,0.000364508,0.000364508
71,34.3343,0.78165,0.92032,0.98443,0.67947,0.82643,0.79708,0.65372,0.77527,1.04573,0.8758,0.000358238,0.000358238,0.000358238
72,34.7919,0.82037,0.91988,1.02603,0.67947,0.82643,0.79708,0.65372,0.77527,1.04573,0.8758,0.000351639,0.000351639,0.000351639
73,35.2533,0.68797,0.79511,0.99015,0.67947,0.82643,0.79708,0.65372,0.77527,1.04573,0.8758,0.000344709,0.000344709,0.000344709
74,35.7321,0.85009,0.9245,1.0287,0.67947,0.82643,0.79708,0.65372,0.77527,1.04573,0.8758,0.000337449,0.000337449,0.000337449
75,36.1903,0.85353,0.9702,0.99785,0.67947,0.82643,0.79708,0.65372,0.77527,1.04573,0.8758,0.000329859,0.000329859,0.000329859
76,36.6702,0.89835,0.93924,1.0488,0.67947,0.82643,0.79708,0.65372,0.77527,1.04573,0.8758,0.000321939,0.000321939,0.000321939
77,37.1612,1.04757,1.07683,1.12281,0.69782,0.9125,0.86279,0.70432,0.75066,1.05366,0.87727,0.000313689,0.000313689,0.000313689
78,37.7059,1.02484,1.14535,1.1416,0.69782,0.9125,0.86279,0.70432,0.75066,1.05366,0.87727,0.000305109,0.000305109,0.000305109
79,38.1942,0.85413,0.9999,1.00488,0.69782,0.9125,0.86279,0.70432,0.75066,1.05366,0.87727,0.000296199,0.000296199,0.000296199
80,38.6629,0.84169,0.89404,1.00219,0.69782,0.9125,0.86279,0.70432,0.75066,1.05366,0.87727,0.000286959,0.000286959,0.000286959
81,39.1377,0.90388,0.83402,1.05263,0.69782,0.9125,0.86279,0.70432,0.75066,1.05366,0.87727,0.000277389,0.000277389,0.000277389
82,39.6088,0.79721,0.83606,0.99285,0.69782,0.9125,0.86279,0.70432,0.75066,1.05366,0.87727,0.000267488,0.000267488,0.000267488
83,40.0659,0.80648,0.84698,1.01514,0.69782,0.9125,0.86279,0.70432,0.75066,1.05366,0.87727,0.000257258,0.000257258,0.000257258
84,40.5611,0.80974,0.90974,1.00608,0.71874,0.975,0.90887,0.74839,0.72967,1.06183,0.88383,0.000246698,0.000246698,0.000246698
85,41.0277,0.87049,0.97403,1.04605,0.71874,0.975,0.90887,0.74839,0.72967,1.06183,0.88383,0.000235807,0.000235807,0.000235807
86,41.4801,1.01785,1.01794,1.14532,0.71874,0.975,0.90887,0.74839,0.72967,1.06183,0.88383,0.000224587,0.000224587,0.000224587
87,41.9458,0.68356,0.80207,0.96845,0.71874,0.975,0.90887,0.74839,0.72967,1.06183,0.88383,0.000213036,0.000213036,0.000213036
88,42.4251,0.82528,0.8995,1.03619,0.71874,0.975,0.90887,0.74839,0.72967,1.06183,0.88383,0.000201155,0.000201155,0.000201155
89,42.8927,0.74837,0.91033,1.02551,0.71874,0.975,0.90887,0.74839,0.72967,1.06183,0.88383,0.000188944,0.000188944,0.000188944
90,43.415,0.79975,0.80636,1.00013,0.71874,0.975,0.90887,0.74839,0.72967,1.06183,0.88383,0.000176404,0.000176404,0.000176404
91,43.9784,0.7998,0.88927,1.03667,0.73117,0.99645,0.91289,0.74329,0.71761,1.02821,0.88621,0.000163533,0.000163533,0.000163533
92,44.9607,0.69668,0.7465,0.9513,0.73117,0.99645,0.91289,0.74329,0.71761,1.02821,0.88621,0.000150332,0.000150332,0.000150332
93,45.7455,0.80044,0.78989,0.95817,0.73117,0.99645,0.91289,0.74329,0.71761,1.02821,0.88621,0.000136801,0.000136801,0.000136801
94,46.3393,0.72155,0.73953,0.95805,0.73117,0.99645,0.91289,0.74329,0.71761,1.02821,0.88621,0.00012294,0.00012294,0.00012294
95,46.7918,0.73044,0.77583,0.97915,0.73117,0.99645,0.91289,0.74329,0.71761,1.02821,0.88621,0.000108748,0.000108748,0.000108748
96,47.256,0.72485,0.74947,0.95689,0.73117,0.99645,0.91289,0.74329,0.71761,1.02821,0.88621,9.42272e-05,9.42272e-05,9.42272e-05
97,47.7072,0.74167,0.88701,0.95757,0.73117,0.99645,0.91289,0.74329,0.71761,1.02821,0.88621,7.93759e-05,7.93759e-05,7.93759e-05
98,48.1674,0.71064,0.77212,0.98459,0.73117,0.99645,0.91289,0.74329,0.71761,1.02821,0.88621,6.41945e-05,6.41945e-05,6.41945e-05
99,48.662,0.92894,1.10642,1.04647,0.75181,0.92253,0.92888,0.76805,0.71387,0.98513,0.89387,4.86831e-05,4.86831e-05,4.86831e-05
100,49.1237,0.71784,0.7399,0.98057,0.75181,0.92253,0.92888,0.76805,0.71387,0.98513,0.89387,3.28416e-05,3.28416e-05,3.28416e-05
